	music #	name	performer	price	venue
51	4	Overheat Fes. Halloween Special	艺人：Ouroboros/BLOOM乐队/DJ HOMEDA/凌晨12点/CKS/花生一夏/究極Ultima/STARWINK少女队	价格：¥98起	[上海]LOFAS
52	4	WayLife2021巡演《就这么一场无聊的演出》  上海站	艺人：WayLife_生活方式	价格：¥90起	[上海]育音堂（凯旋店）
53	4	阿克江 x VISUDY 2021「HEART BEAT WAVEFORM」巡演 上海站	艺人：VISUDY/阿克江 LilAkin	价格：¥159起	[上海]上海 MODERNSKY LAB
54	4	「无中生有」TC乔安娜联合巡演 上海站	艺人：TC乔安娜/Dionysian（酒神精神）	价格：¥80起	[上海]育音堂（凯旋店）
55	6	KnowKnow「Mr.Enjoy Da Money 」2021TOUR 第二轮-上海站	艺人：knowknow	价格：¥220起	[上海]瓦肆 VAS SHANGHAI
56	6	愚月FoolMoon「环形山下」巡演 上海站	艺人：于贞/愚月FoolMoon/Doggie	价格：¥150起	[上海]上海 MAO Livehouse
57	6	"2021地下8英里城市赛 “Restart 重启""上海站"	艺人：地下8英里.	价格：¥88起	[上海]LOFAS
58	6	“娱乐模式”坤木巡演	艺人：坤木Joymo/余柯/灯灯灯泡	价格：¥80起	[上海]育音堂音乐公园
59	6	J-LOOP· 朱星杰2021专辑同名城市巡演-上海站	艺人：朱星杰	价格：¥280起	[上海]上海 MODERNSKY LAB
60	6	明堂唱片 2021全明星夏末巡演 上海站	艺人：夏之禹/李丁丁MIA AIM/DOLLARZOO陶乐然/DJ GAVINTOO 白天不亮/地磁卡	价格：¥180起	[上海]瓦肆 VAS SHANGHAI
61	6	Urban Chilling Autumn 初秋温凉浪漫夜 上海站	艺人：Code-A/zc木蘭/海妖乐队/渡洛西汀Duloxetine	价格：¥140起	[上海]育音堂音乐公园
62	6	【秀动呈献】那吾克热-NW 2021“比法尼”巡演 上海站	艺人：那吾克热-NW/Swang多雷/福克斯	价格：¥160起	[上海]上海 MODERNSKY LAB
63	6	激战纪元	艺人：Chaos mind/Burns Inside乐队/Rampage Time猖獗一时/BLACK VE$PID黑蜂	价格：¥80起	[上海]育音堂（凯旋店）
64	6	[ 次元破壁机 ] 2021 吉丁Kiddin 新专巡演 上海站	艺人：宝藏山-金跳造/宝藏山-三册柏/木秦/吉丁Kiddin	价格：¥150起	[上海]LOFAS
65	6	《THE CHOSEN GIRL》 仙女RAPPER职业竞技大赛 上海站	艺人：恶童ETON	价格：¥100起	[上海]LOFAS
66	6	龙韬5cool小分队 《DON’T RUN》上海站	艺人：Doggie/沙一汀/石玺彤/YUNGK2/钟骏一/林煜修	价格：¥228起	[上海]上海 MODERNSKY LAB
67	6	时空维度spacetime上海巡演站	艺人：力狗STITCH/毕冉/王新宇/刘俊伸	价格：¥50起	[上海]育音堂（凯旋店）
